county_fips,total_schools,total_students,cep_school_rate,cep_student_rate,weighted_isp
17113,57.0,24676.0,0.8245614035087719,0.8651726373804507,0.5470777516615335
17115,23.0,6220.0,0.782608695652174,0.6831189710610932,0.541315
17117,5.0,1162.0,1.0,1.0,0.46820378657487083
17119,9.0,2228.0,1.0,1.0,0.47350915619389583
17121,9.0,2214.0,1.0,1.0,0.6097570009033424
17123,13.0,3195.0,0.9230769230769231,0.7871674491392802,0.5072887010954615
17125,41.0,22598.0,0.17073170731707318,0.15010177891848836,0.34020957606867863
17127,36.0,17410.0,0.2777777777777778,0.12205628948879954,0.3773701091326823
17129,6.0,1514.0,0.0,0.0,0.3117640686922061
17131,5.0,1287.0,1.0,1.0,0.40870000000000006
17133,1.0,388.0,0.0,0.0,0.3325000000000001
17135,14.0,3744.0,1.0,1.0,0.46470411324786326
17137,19.0,4082.0,0.7368421052631579,0.5975012248897599,0.5529239343459088
17139,6.0,1565.0,0.3333333333333333,0.5246006389776358,0.40575476038338654
17141,21.0,5901.0,0.42857142857142855,0.35909167937637687,0.3838364006100661
17143,52.0,19067.0,0.7692307692307693,0.7937798290239682,0.6244038915403577
17145,8.0,2580.0,0.5,0.5837209302325581,0.4406620930232558
17147,6.0,605.0,0.5,0.2727272727272727,0.44298000000000004
17149,11.0,2293.0,0.45454545454545453,0.2839075447012647,0.4400240296554731
17151,2.0,547.0,1.0,1.0,0.5594
17153,5.0,830.0,1.0,1.0,0.6589951807228915
17155,3.0,520.0,0.0,0.0,0.3480682692307692
17157,14.0,3950.0,0.7142857142857143,0.6356962025316456,0.48378630379746834
17159,3.0,2287.0,1.0,1.0,0.4906
17161,43.0,19001.0,0.6046511627906976,0.5923372454081364,0.5452147360665227
17163,67.0,28361.0,0.7761194029850746,0.5852402947709884,0.6094831776030465
17165,13.0,3624.0,1.0,1.0,0.5993442052980132
17167,53.0,16575.0,0.8113207547169812,0.8734841628959276,0.59790812066365
17169,4.0,949.0,1.0,1.0,0.40460000000000007
17171,5.0,741.0,1.0,1.0,0.42917341430499323
17173,13.0,2834.0,0.38461538461538464,0.3147494707127735,0.3648598800282286
17175,5.0,844.0,1.0,1.0,0.46917890995260664
17177,14.0,4522.0,0.5714285714285714,0.7620521892967713,0.5683113224237062
17179,36.0,9637.0,0.7777777777777778,0.859084777420359,0.5075278924976653
17181,15.0,2521.0,0.9333333333333333,0.8127727092423641,0.503746251487505
17183,33.0,11545.0,0.6666666666666666,0.7504547423126895,0.5888357990472066
17185,5.0,1526.0,0.2,0.08846657929226737,0.4384016382699869
17187,9.0,2548.0,0.5555555555555556,0.6126373626373627,0.46696891679748825
17189,6.0,1119.0,0.3333333333333333,0.17247542448614836,0.3288380697050938
17191,11.0,2281.0,1.0,1.0,0.463401315212626
17193,12.0,2197.0,1.0,1.0,0.5330781975421028
17195,25.0,7718.0,0.4,0.5331692148224929,0.4751481601451153
17197,110.0,63798.0,0.6545454545454545,0.706903037712781,0.5019835182921095
17199,22.0,9490.0,0.2727272727272727,0.15669125395152791,0.44773151738672284
17201,73.0,36902.0,0.8356164383561644,0.9115495095116796,0.6232328003902228
17203,13.0,1687.0,0.9230769230769231,0.8743331357439241,0.4315404267931238
